,0
841,41
842,75
843,31
844,31
845,26
846,31
847,68
848,31
849,31
850,26
851,41
852,26
853,26
854,31
855,41
856,31
857,26
858,26
859,31
860,31
861,26
862,41
863,41
864,31
865,41
866,31
867,31
868,62
869,68
870,31
871,68
872,68
873,26
874,31
875,41
876,68
877,41
878,31
879,31
880,31
881,31
882,31
883,68
884,31
885,31
886,41
887,31
888,31
889,31
890,26
891,31
892,31
893,31
894,31
895,41
896,31
897,41
898,26
899,41
900,31
901,75
902,31
903,31
904,41
905,62
906,31
907,64
908,69
909,31
910,68
911,31
912,41
913,41
914,4
915,31
916,26
917,26
918,31
919,78
920,31
921,31
922,52
923,78
924,41
925,68
926,19
927,41
928,68
929,31
930,26
931,26
932,26
933,31
934,31
935,31
936,31
937,31
938,31
939,41
940,26
941,26
942,68
943,31
944,31
945,41
946,26
947,68
948,26
949,69
950,31
951,22
952,78
953,26
954,41
955,31
956,75
957,26
958,31
959,22
960,31
961,31
962,19
963,41
964,31
965,41
966,41
967,26
968,31
969,31
970,29
971,68
972,41
973,31
974,22
975,31
976,30
977,41
978,26
979,75
980,26
981,31
982,41
983,31
984,41
985,41
986,26
987,31
988,31
989,31
990,26
991,22
992,41
993,41
994,31
995,31
996,26
997,26
998,31
999,31
1000,41
1001,26
1002,75
1003,68
1004,41
1005,31
1006,31
1007,31
1008,4
1009,68
1010,31
1011,31
1012,31
1013,68
1014,78
1015,31
1016,31
1017,31
1018,31
1019,26
1020,26
1021,31
1022,31
1023,22
1024,26
1025,68
1026,41
1027,41
1028,31
1029,31
1030,31
1031,22
1032,31
1033,26
1034,31
1035,4
1036,75
1037,31
1038,31
1039,26
1040,31
1041,41
1042,31
1043,31
1044,31
1045,41
1046,31
1047,69
1048,31
1049,31
1050,31
1051,31
1052,41
1053,41
1054,31
1055,31
1056,31
1057,68
1058,41
1059,41
1060,31
1061,41
1062,26
1063,31
1064,68
1065,52
1066,46
1067,78
1068,41
1069,31
1070,31
1071,31
1072,31
1073,26
1074,26
1075,31
1076,78
1077,31
1078,68
1079,31
1080,41
1081,31
1082,31
1083,26
1084,31
1085,31
1086,31
1087,31
1088,26
1089,64
1090,52
1091,68
1092,31
1093,14
1094,26
1095,31
1096,26
1097,31
1098,31
1099,31
1100,31
1101,68
1102,31
1103,31
1104,19
1105,41
1106,22
1107,52
1108,26
1109,26
1110,4
1111,31
1112,68
1113,75
1114,26
1115,30
1116,68
1117,26
1118,31
1119,31
1120,41
1121,68
1122,31
1123,31
1124,31
1125,26
1126,26
1127,31
1128,31
1129,41
1130,31
1131,31
1132,31
1133,26
1134,68
1135,26
1136,31
1137,31
1138,31
1139,31
1140,62
1141,31
1142,26
1143,41
1144,31
1145,75
1146,31
1147,31
1148,41
1149,68
1150,68
1151,26
1152,31
1153,31
1154,31
1155,31
1156,41
1157,41
1158,31
1159,26
1160,31
1161,31
1162,41
1163,31
1164,31
1165,68
1166,26
1167,31
1168,31
1169,41
1170,19
1171,26
1172,26
1173,41
1174,26
1175,41
1176,68
1177,68
1178,78
1179,62
1180,26
1181,41
1182,64
1183,26
1184,31
1185,75
1186,31
1187,31
1188,31
1189,31
1190,64
1191,41
1192,41
1193,75
1194,68
1195,75
1196,31
1197,41
1198,41
1199,26
1200,19
1201,62
1202,31
1203,31
1204,31
1205,41
1206,75
1207,68
1208,26
1209,41
1210,41
1211,31
1212,75
1213,26
1214,26
1215,26
1216,26
1217,41
1218,31
1219,30
1220,22
1221,31
1222,68
1223,41
1224,31
1225,68
1226,31
1227,41
1228,26
1229,4
1230,31
1231,31
1232,31
1233,68
1234,31
1235,41
1236,41
1237,41
1238,31
1239,68
1240,31
1241,31
1242,26
1243,31
1244,31
1245,31
1246,31
1247,26
1248,26
1249,41
1250,41
1251,26
1252,31
1253,31
1254,68
1255,31
1256,31
1257,31
1258,31
1259,41
1260,31
1261,26
1262,31
1263,31
1264,30
1265,31
1266,41
1267,26
1268,26
1269,41
1270,31
1271,26
1272,41
1273,31
1274,22
1275,31
1276,31
1277,41
1278,68
1279,31
1280,41
1281,31
1282,31
1283,78
1284,41
1285,41
1286,26
1287,31
1288,26
1289,68
1290,75
1291,4
1292,31
1293,22
1294,26
1295,31
1296,31
1297,68
1298,26
1299,26
